;0;1;2
0;6.547775;-6.271576;6.3521357
1;-2.3867977;3.4126604;12.801788
2;2.665047;3.8110092;12.693279
3;-6.490187;-20.368834;-1.3138686
4;3.2265894;7.656824;19.201244
5;7.4091163;-2.376908;12.784043
6;-7.236914;-4.0636134;8.294234
7;1.6873412;-9.081481;8.032505
8;-7.8405848;-0.5866513;14.927807
9;-4.7181616;-12.565576;12.401507
10;1.357312;-6.329391;19.645498
11;-5.340967;15.679418;6.417355
12;-0.62866163;-6.9876685;21.14392
13;17.027277;-8.126799;7.124522
14;-10.827684;-14.328097;11.021553
15;-9.413559;-15.992449;16.421436
16;1.612123;6.8985834;12.705095
17;-6.7815876;-16.537884;0.7953063
18;-9.803265;6.9809422;0.96635085
19;-7.2401385;-3.63237;8.556455
20;8.867334;-16.215284;5.7702255
21;7.8917117;-8.45587;3.9290073
22;-12.299447;-0.9605541;18.39522
23;-2.0932064;-16.434643;4.814601
24;2.336533;-6.8375583;7.6909943
25;3.993332;3.9809434;7.6529307
26;-7.3389463;-2.2805066;15.458133
27;1.6299902;7.2168775;12.500078
28;0.1885337;-8.083849;20.442343
29;5.047326;-15.3528385;12.86478
30;-3.880544;6.30694;-12.904341
31;-4.6770673;0.832432;12.910556
32;-3.6599483;-10.214782;14.133532
33;-3.892126;-17.664658;10.75451
34;-11.638893;-16.319403;12.716365
35;-14.137808;17.384428;-7.345391
36;-7.5852737;4.1422734;18.29927
37;2.6645906;-13.882657;4.0122833
38;-6.453136;-20.722666;3.0074244
39;-7.4448767;3.74826;16.7136
40;-10.044595;-10.54325;5.71614
41;1.9333496;-6.026818;2.9017956
42;-20.832088;-13.232571;-8.237487
43;-13.551079;-6.981956;-6.989747
44;-5.4435687;-13.25543;8.001862
45;-15.470768;-10.730926;-5.6347146
46;-10.509852;-14.170119;2.139063
47;-14.169739;7.843721;1.6117263
48;-7.088379;-17.345734;13.905603
49;-3.7407203;17.382624;-9.91939
50;8.719317;-13.761245;-1.0301392
51;-14.637172;-6.9987817;-7.9898195
52;1.9691384;-9.830648;19.07281
53;8.910671;-17.509916;14.983538
54;-11.02526;-5.9313383;-12.21774
55;-10.001092;19.014076;6.7129135
56;-7.200416;-20.978886;-0.19538051
57;23.090294;4.0526433;-2.7017808
58;5.567294;-16.024931;18.640245
59;-8.239081;-15.242148;6.6482196
60;-17.036623;4.4279647;7.3386254
61;-0.16881889;-20.10099;9.749135
62;-2.3892992;9.580904;19.053267
63;5.1539483;-14.41817;5.7913604
64;-9.811135;-9.993813;-13.836896
65;14.228773;2.5951688;14.040434
66;3.3277802;-3.4020762;13.45968
67;-3.6342313;-19.175781;-3.5348933
68;4.5856814;7.000766;19.627087
69;10.637759;-12.737394;13.988404
70;-1.9387503;20.921707;12.024932
71;1.6982064;10.389992;-7.765076
72;-3.9375374;-4.538978;21.311113
73;-6.15728;19.35068;-0.8875412
74;-4.759396;-21.644295;2.9470751
75;-2.3018956;0.26700336;13.799294
76;3.4412305;-4.934035;-0.5514985
77;-5.252835;17.731335;-13.459313
78;-11.508589;-4.563832;-13.575968
79;-7.2702966;-9.907168;6.944269
80;-5.3413014;1.7311181;12.61682
81;-5.8792453;3.1234949;7.312793
82;-8.312521;-20.0268;-3.0789552
83;-5.423355;-18.769304;-2.2258859
84;1.5484928;0.53362226;19.036573
85;4.0588245;-17.304184;12.121214
86;8.216071;-18.656773;3.2110386
87;2.8415718;-6.346626;3.272406
88;-0.89273405;11.246796;19.227507
89;-10.795793;0.9736156;15.399925
90;-11.864251;1.1415513;-7.7755857
91;-5.8797755;-16.506966;18.844847
92;-8.341774;2.8931935;9.908875
93;-3.4990973;-17.36115;10.465411
94;4.80211;-15.201914;18.29295
95;9.092145;-15.660921;5.327021
96;-18.853184;-4.358071;-4.8212614
97;0.7940543;-18.352905;6.030186
98;-11.094893;-16.308279;5.9150667
99;0.119650446;2.8288252;11.472631
100;-9.095469;-14.3417425;7.6504636
101;7.7017384;-6.600592;8.987286
102;5.986716;-4.55087;5.4178653
103;-7.293677;15.981874;4.944377
104;4.553939;4.898237;15.29906
105;-14.153251;-8.505625;-7.153552
106;-1.154583;-18.099394;2.9776134
107;10.781843;-14.7745285;13.106506
108;-0.48050416;-6.120158;11.953905
109;1.8080045;-9.535584;2.4110825
110;-10.934201;3.3871815;-17.601772
111;-3.737745;-17.55604;-1.216538
112;-19.447996;-5.9309497;-8.647231
113;-16.92114;-12.016015;-4.058367
114;3.1933641;-4.835093;3.1820047
115;3.381451;9.112887;17.37431
116;-11.960919;-13.857166;2.5409799
117;7.975971;-13.656476;19.444027
118;-14.532053;-9.0863905;1.3533585
