;0;1
0;-5.4497824;22.523678
1;-28.197199;6.4212713
2;-18.511385;5.7678246
3;-2.3781066;61.848827
4;-40.748764;-8.302671
5;-13.4062605;17.909575
6;-30.38849;16.498158
7;-13.568099;26.977297
8;-41.83458;12.308634
9;-37.917274;39.16759
10;-48.767143;27.026522
11;1.6401054;-12.573039
12;-48.28892;24.216099
13;26.729723;32.506256
14;-35.428757;32.209854
15;-41.054146;35.50926
16;-26.29902;-1.5974995
17;-21.809204;33.034763
18;-27.77608;-16.355244
19;-30.52005;16.253908
20;-18.647104;54.192875
21;0.23329382;27.956066
22;-50.235977;11.443503
23;-17.048103;40.58465
24;-13.102168;25.628754
25;-11.709868;7.504727
26;-41.506428;14.12778
27;-26.316326;-1.7775273
28;-48.30886;25.458378
29;-25.918234;51.857914
30;17.786797;-24.6202
31;-34.153847;10.804579
32;-38.590454;24.10835
33;-27.042055;40.631977
34;-35.327652;34.0135
35;11.63063;-29.62736
36;-44.637856;7.4671803
37;-13.087075;37.285248
38;-7.0327625;60.413513
39;-43.080376;8.328592
40;-28.9859;25.558409
41;-1.9110907;22.067114
42;-11.9127445;-55.69336
43;-10.046746;-38.558907
44;-31.105375;32.587902
45;-7.784275;-46.36506
46;-23.89244;28.311226
47;-30.669872;-20.363665
48;-35.88522;44.75371
49;32.08932;-43.049816
50;7.411965;37.65094
51;-10.794216;-41.111534
52;-39.794518;51.73019
53;-26.506123;57.800407
54;-3.7817538;-41.77645
55;1.5025445;-18.159323
56;-3.804698;61.95652
57;45.494106;7.5874166
58;-32.284874;55.656124
59;-28.689295;31.667019
60;-43.152298;-25.176945
61;-22.067207;42.838985
62;-42.287846;-1.0708364
63;-10.628726;37.788776
64;1.3237624;-47.548157
65;22.758806;6.5781636
66;-17.251667;16.816692
67;0.38960788;59.368988
68;-40.257587;-9.300066
69;-28.075706;42.909115
70;7.654437;-35.447712
71;26.46613;-21.440071
72;-47.36013;20.313547
73;17.479479;-46.706116
74;-6.7473426;59.08859
75;-31.279844;10.017635
76;1.7989427;20.643856
77;34.835125;-45.560215
78;-2.6286454;-42.54843
79;-30.701408;24.602262
80;-35.418465;10.529776
81;-28.267416;10.038153
82;-1.4669293;64.17169
83;-0.23954679;59.57496
84;-33.016964;4.6429224
85;-23.841476;51.249527
86;-8.797579;41.520817
87;-1.7931317;22.80888
88;-42.680965;-3.1842568
89;-48.55407;8.639486
90;-11.265184;-28.86098
91;-43.40723;39.576347
92;-30.806099;14.460124
93;-26.412617;40.90653
94;-33.136673;54.98256
95;-18.609343;54.513958
96;-20.271383;-41.846424
97;-15.268873;43.58039
98;-32.81697;32.130978
99;-19.247158;6.872419
100;-30.122099;30.583735
101;-7.399208;25.513565
102;-4.9951587;20.001448
103;4.4692492;-19.128681
104;-27.754755;0.59490204
105;-20.547571;-36.894413
106;-15.230645;42.3008
107;6.6691036;48.2564
108;-20.024448;21.151123
109;-4.345741;30.950949
110;4.338072;-30.120428
111;-0.9829982;56.9847
112;-20.342167;-44.3604
113;-22.05163;-45.986027
114;-3.0794427;21.381691
115;-33.543045;-5.05774
116;-23.806181;27.087633
117;-33.872883;59.16119
118;-28.210442;-36.53864
119;-34.949986;28.43532
120;-17.878626;-54.289078
121;-32.040405;45.25079
122;-19.899088;1.5214387
123;-6.2715235;49.88073
124;-17.208538;47.84922
125;-30.22028;54.27907
126;-26.646288;49.930176
127;-0.6500952;58.86182
128;-36.622345;33.407246
129;17.078495;-23.416027
130;-31.371424;25.2509
131;-12.500487;45.4051
132;-12.230609;48.837337
133;-37.923195;8.94652
134;18.931871;-1.0754963
135;-23.040451;14.506042
136;-10.459467;8.11926
137;-41.265408;-8.516136
138;-44.816612;-25.210342
139;-35.568596;34.393597
140;1.5401523;18.23276
141;-4.294837;-14.230918
142;38.074318;-38.785748
143;-3.8266342;59.886753
144;-43.027683;-25.23131
145;-3.4134467;24.254583
146;24.315823;9.268587
147;-39.449642;52.073257
148;12.59277;-20.745977
149;-29.85581;39.479977
150;-42.59718;38.77835
151;-39.18035;45.42038
152;0.81261796;-8.284255
153;-20.035639;14.1927805
154;-29.404198;52.382755
155;-40.51659;-36.317585
156;13.318322;-1.9041216
157;0.30938485;-16.4832
158;-3.0962975;63.04749
159;-40.69196;-16.895891
160;-5.905671;50.638958
161;-40.238754;14.707939
162;-42.975056;6.7842064
163;-33.86745;1.7123687
164;25.21188;7.0975757
165;-16.143108;20.924288
166;-38.257256;-2.9780972
167;-16.437487;-26.605474
168;-47.79849;-15.607008
169;-48.300533;14.05677
170;-33.92047;58.9135
171;-20.154343;34.668587
172;-15.101143;2.8324883
173;1.2929144;22.39834
174;-25.932554;-46.493748
175;-31.810232;52.241814
176;-45.189423;-20.25392
177;-7.159978;43.686428
178;-24.46792;48.928
179;-14.447756;26.584503
180;-43.079002;1.1460961
181;-23.169777;46.818142
182;-51.072765;-20.691353
183;-40.15824;28.359182
184;-16.91996;56.028755
185;-38.719543;8.911466
186;-9.0959835;46.735035
187;-1.6935784;60.874958
188;11.504583;33.858273
189;-47.60127;11.793465
190;1.2161114;-12.534325
191;29.168459;6.4587274
192;47.56402;1.5613108
193;-38.889553;41.59712
194;-13.171084;38.09588
195;-18.42392;53.400852
196;-31.957151;28.229912
197;-19.016266;-32.64605
198;-6.3372493;60.06478
199;-29.497238;15.442729
200;-24.704998;17.47273
201;-33.054455;12.185731
202;-36.845535;-31.867302
203;-3.937287;-15.137421
204;-16.62043;41.016323
205;-39.209087;34.741436
206;0.042823654;-37.535404
207;-12.753495;20.844547
208;-32.690804;4.6591287
209;-5.3813334;29.68442
210;-11.426145;-54.520283
211;-23.52235;52.892822
212;-16.032923;48.35265
213;-28.604101;-14.917906
214;12.592297;30.653692
215;31.540718;8.479118
216;18.40383;-35.145985
217;-43.443398;16.519907
218;-21.96653;14.191087
219;-17.305601;41.097137
220;-28.171652;1.5296605
221;-30.014742;-48.137108
222;-49.23739;10.3902645
223;37.83051;2.6420033
224;16.403645;0.03924347
225;-15.998698;20.965773
226;1.6619693;61.914047
227;46.240993;-35.469025
228;-29.607615;59.74288
229;-1.2777144;58.015682
230;-36.839123;-44.939487
231;-14.797065;5.3580937
232;-42.27886;9.206972
233;-38.158726;0.30230746
234;-28.341356;-15.96416
235;24.913464;8.629509
236;-24.083763;30.999353
237;-18.754595;29.568323
238;-31.190592;32.718735
239;-36.15101;-3.9554288
240;5.232255;27.968925
241;-6.7975216;46.49685
242;-10.640522;54.24801
243;-34.247784;18.520363
244;-33.485855;28.373325
245;-44.727676;14.6251335
246;-19.147797;38.617573
247;-18.230997;42.35618
248;-28.730366;-3.383047
249;-36.32654;-28.72172
250;-39.337563;52.497417
251;-38.491314;19.866142
252;25.526203;-17.887016
253;-39.02084;-4.642924
254;26.85384;-30.891298
255;-22.858095;-41.47372
256;-33.44374;46.01931
257;-7.0964613;40.876003
258;-16.171106;-33.80635
259;-40.18452;51.529224
260;-37.45904;20.216707
261;-3.814724;20.42568
262;-31.569702;-5.5532064
263;37.29387;12.237324
264;-22.006271;51.48519
265;-36.577156;42.863144
266;-42.362766;12.018995
267;16.400843;-4.5748916
268;-35.735027;34.193413
269;-11.7115135;14.722867
270;-5.8424916;59.20725
271;-6.114428;-3.4586396
272;-38.101505;42.74433
273;-0.08442909;57.810173
274;-22.169817;37.53145
275;22.482681;8.986635
276;-8.802059;23.266346
277;2.728717;58.60918
278;-13.546703;47.45019
279;-33.61861;58.292034
280;-8.795031;-39.452724
281;-47.123257;-28.501501
282;-18.300749;14.939198
283;25.932215;-33.538963
284;3.7996929;58.830822
285;-21.430733;37.870193
286;28.065344;6.1147175
287;-33.966568;50.487347
288;-3.8677719;20.593248
289;42.916573;-26.879124
290;-23.997501;31.154213
291;-43.13147;2.129676
292;13.225217;-7.0357447
293;-24.447563;57.659687
294;-1.1246473;-50.241753
295;-16.465992;16.877966
296;36.543953;-35.25709
297;-43.623676;21.589268
298;-15.536612;43.895115
299;16.977324;-0.9841031
300;0.9539701;-15.730326
301;-1.3560714;16.539581
302;-27.85253;55.20191
303;-19.842085;51.459366
304;-51.386414;-20.339558
305;-26.158737;32.25362
306;-30.659592;32.027122
307;-32.64456;29.313635
308;-3.0799115;55.71959
309;-36.612537;29.31349
310;-39.489555;16.967047
311;-3.0058765;-51.31656
312;-41.064342;21.8237
313;38.489113;9.42942
314;-15.980545;47.288074
315;-31.150732;-1.2091286
316;-42.451557;-3.441316
317;-19.041088;35.24444
318;-19.149601;50.88335
319;-19.329502;4.160362
320;16.198217;-5.474981
321;-12.998959;36.54505
322;-20.621777;-28.970165
323;-46.164627;12.342103
324;-33.392735;38.65078
325;-4.7854156;43.512
326;-23.680471;-30.591038
327;-16.09589;55.373535
328;38.306698;4.8432746
329;-39.364883;37.721493
330;-39.68049;-2.045783
331;2.764393;58.95892
332;-41.300762;5.9205685
333;-39.470844;40.683823
334;0.42947716;10.940862
335;-17.875132;36.194187
336;22.4058;6.427248
337;0.3566942;-39.816162
338;-23.84223;49.937145
339;-46.82324;-34.941364
340;-21.808395;13.763742
341;-49.46304;15.385783
342;53.05175;21.981129
343;-42.572124;38.533653
344;3.9424505;58.788506
345;29.674553;27.572037
346;-36.77039;-4.1623793
